id,s1,s41,s42,s43,s44,s45,a0,M1,a11012,a11022,a11032,a11042,a11052,a11062,a11072,a11082,a11092,a11102,a11112,a11122,a11132,a11142,a1301,a1302,a1303,a1304,a1305,a1306,a1307,a1308,a1309,a1310,a1311,a1312,a1313,a1314,a1401,a1402,a1403,a1404,a1405,a1406,a1407,a1408,a1409,a1410,a1411,a1412,a1413,a1414,a2,a301,a302,a4,a501,a6,a7a,a7b,a7c,a8a,a11,a1299,a121,a122,a123,a124,a125,a126,a127,a128,a13,a14,a15,a16,a17,a18,a21,a23,a24,a25,M2,a313,a31a,a31b,a69,a69,a71a,a7ab,a72,a75a,a81,b5
4648,1,31,89,134,368,484,2015年8月18日,2,55,26,,,,,,,,,,,,,1,4,,,,,,,,,,,,,2,1,,,,,,,,,,,,,2,1960,55,1,1,1,6,4,1979,18000,54,0,0,1,0,0,0,0,0,0,150,90,4,4,4,2,1,,9997,9997,4.14,2,6,6,5,3,1960,1989,3,10000,1,3
4650,1,31,89,134,368,485,2015年9月12日,4,57,34,34,10,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,2,2,2,,,,,,,,,,,1,1956,59,1,1,1,9,4,1989,23000,60,0,0,0,0,0,0,0,0,1,170,192,2,2,5,2,2,,9997,9997,3.86,1,,,4,3,1958,1980,7,36000,5,3
4653,1,31,89,134,368,484,2015年8月18日,3,51,51,24,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,2,1988,27,1,1,1,7,4,2008,0,79,0,0,0,0,0,0,0,1,0,160,120,5,5,3,2,1,,9997,9997,2.93,4,1,3,4,3,1988,2012,10,500000,1,3
4658,1,31,89,134,368,484,2015年8月18日,2,60,59,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1987,28,1,1,1,3,4,2002,3000,64,0,0,0,0,1,0,0,0,0,156,120,2,1,2,2,1,,9997,9997,4.21,2,7,7,4,1,,,,,,3
4659,1,31,87,130,355,469,2015年8月15日,3,55,31,31,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,2,1960,55,1,1,1,1,,,30000,49,0,0,0,0,0,0,0,1,0,156,100,2,2,2,1,2,,-2,1995,4.07,1,4,7,3,3,1960,-2,4,30000,1,2
4661,2,31,87,130,356,471,2015年8月17日,1,75,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1940,75,1,1,1,1,,,8000,70,0,0,1,0,0,0,0,0,0,160,100,1,2,3,1,1,,9997,9997,4.36,5,,,3,3,1940,1968,1,4000,4,2
4662,1,31,89,134,368,484,2015年9月13日,2,45,23,,,,,,,,,,,,,1,4,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1972,43,1,1,1,4,4,-2,30000,40,0,0,1,0,0,0,0,0,0,163,150,2,5,3,2,2,,9997,9997,3.57,1,2,5,4,3,1970,1992,4,10000,1,2
4664,2,31,87,130,354,468,2015年8月15日,4,66,65,42,20,,,,,,,,,,,2,2,1,1,,,,,,,,,,,1,1,2,2,,,,,,,,,,,1,1973,42,1,1,1,4,4,1990,-3,200,0,1,1,0,0,0,0,0,0,175,150,5,5,4,1,1,,9997,9997,4.07,1,1,1,4,3,1973,1994,4,-3,3,2
4665,2,31,87,131,360,475,2015年8月16日,3,86,50,24,,,,,,,,,,,,3,3,1,,,,,,,,,,,,2,2,2,,,,,,,,,,,,1,1989,26,1,1,1,3,4,2000,35000,66,0,0,0,0,0,0,0,1,0,176,120,3,3,4,1,1,,9997,9997,3.71,3,3,5,4,3,1991,2007,4,0,4,3
4666,1,31,87,132,361,476,2015年8月23日,1,33,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1950,65,1,1,1,4,4,1968,18000,23.1,0,1,0,0,0,0,0,0,0,150,110,3,5,3,2,1,,9997,9997,3.21,1,3,3,3,7,,,,,,3
4667,2,31,88,133,366,482,2015年8月17日,4,60,28,27,5,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,2,2,2,,,,,,,,,,,2,1962,53,3,1,1,4,4,1980,10000,48,0,1,0,0,0,0,0,0,0,162,140,2,1,3,1,1,,9997,9997,3.79,1,1,1,4,3,1955,1983,3,30000,3,2
4668,2,31,86,129,350,464,2015年8月19日,2,35,12,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1978,37,1,1,1,4,4,-2,100000,60,0,1,0,0,0,0,0,0,0,178,165,5,5,5,1,1,,9997,9997,3.93,1,5,5,4,3,1980,2002,3,10000,4,3
4670,1,31,87,131,359,474,2015年8月15日,2,52,30,,,,,,,,,,,,,1,4,,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,1961,54,1,1,1,3,4,1974,2000,100,0,1,0,0,0,0,0,0,0,175,160,5,5,5,2,1,,9997,9997,3.71,1,5,4,4,3,1963,1985,4,2000,5,2
4671,2,31,88,133,366,482,2015年8月17日,4,62,58,13,13,,,,,,,,,,,3,3,-8,-8,,,,,,,,,,,1,1,2,1,,,,,,,,,,,1,1977,38,1,1,1,6,4,1996,24000,130,0,0,0,0,1,0,0,0,0,170,140,4,4,5,1,1,,9997,9997,3.29,2,1,1,5,3,1979,2001,4,0,1,2
4673,1,31,88,133,365,481,2015年8月16日,1,59,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1958,57,1,1,1,4,4,1974,10000,83,0,1,1,0,0,0,0,0,0,178,186,4,4,4,2,1,,1977,1977,3.79,1,6,3,3,3,1956,1984,7,20000,5,3
4674,2,31,87,130,354,468,2015年8月15日,3,78,31,29,,,,,,,,,,,,1,4,4,,,,,,,,,,,,2,2,2,,,,,,,,,,,,1,1960,55,1,1,1,3,4,1973,40000,100,0,1,0,0,0,0,0,0,0,160,125,3,2,2,1,1,,9997,9997,4.21,1,6,7,3,7,,,,,,2
4677,1,31,89,134,368,484,2015年9月13日,1,49,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,1969,46,1,1,1,4,4,-2,10000,41,0,0,0,0,0,0,0,0,1,165,165,3,5,5,2,2,,9997,9997,3.71,1,,,4,3,1965,1989,4,10000,5,3
4679,1,31,89,134,368,485,2015年9月14日,1,65,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1947,68,1,1,1,4,4,-2,30000,62.5,0,1,0,0,0,0,0,0,0,168,120,2,2,3,2,1,,9997,2006,4.5,-8,,,4,3,1951,-2,1,0,4,1
4681,1,31,88,133,365,481,2015年8月16日,2,43,43,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,1996,19,1,1,1,8,4,2014,1500,150,0,0,0,0,1,0,0,0,0,167,114,5,4,4,2,2,,9997,9997,3.43,4,7,5,5,1,,,,,,3
4682,1,31,87,130,355,470,2015年8月14日,1,61,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1954,61,1,1,1,3,2,,15000,97,0,1,0,0,0,0,0,0,0,160,148,4,5,5,4,1,,2004,1985,4.29,2,2,3,3,3,1953,1979,3,10000,1,2
4683,1,31,87,132,361,476,2015年8月26日,3,69,38,34,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1946,69,1,1,1,4,4,1962,40000,60,0,0,0,1,0,0,0,0,0,172,120,3,5,4,2,1,,9997,9997,3.29,1,4,5,4,3,1947,1973,6,30000,5,3
4684,1,31,87,132,361,476,2015年8月26日,1,55,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1958,57,1,1,1,6,4,1975,20000,50,0,0,1,0,0,0,0,0,0,168,124,3,5,4,2,1,,9997,9997,3.64,1,7,5,4,3,1960,1983,6,50000,5,3
4685,2,31,87,131,360,475,2015年8月16日,2,58,32,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,1961,54,1,1,1,3,2,,7000,70,0,0,1,0,0,0,0,0,0,160,130,4,4,4,1,1,,9997,9997,4,1,2,6,3,3,1958,1976,1,10000,3,3
4686,2,31,87,131,360,475,2015年8月16日,1,64,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1947,68,1,1,1,1,,,0,110,0,0,1,0,0,0,0,0,0,155,50,2,2,4,1,1,,-2,2009,4.29,1,3,7,2,4,1951,2009,4,20000,3,2
4687,2,31,86,129,350,464,2015年8月19日,2,49,26,,,,,,,,,,,,,1,4,,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,1965,50,1,1,1,4,4,-2,20000,83,0,1,0,0,0,0,0,0,0,173,150,4,3,4,1,1,,1974,1974,4.21,1,4,4,4,3,1966,1988,3,0,4,3
4688,1,31,87,132,361,476,2015年8月26日,1,70,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1946,69,1,0,9,4,4,1964,22300,42,0,0,1,0,0,0,0,0,0,153,130,2,3,4,2,1,,9997,9997,3.86,2,7,7,4,3,1945,1969,7,22000,5,2
4690,1,31,87,130,355,469,2015年8月15日,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1951,64,1,1,1,1,,,3600,46,0,1,0,0,0,0,0,0,0,172,140,3,4,4,2,1,,9997,9997,4.21,1,4,5,3,7,,,,,,3
4691,1,31,86,129,353,467,2015年8月20日,2,36,13,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1977,38,1,1,1,4,4,-2,0,40,0,0,0,0,0,0,0,0,1,160,110,2,4,4,1,1,,9997,9997,3,1,7,5,4,3,1979,1999,3,10000,1,3
4693,1,31,87,130,355,469,2015年8月15日,2,61,57,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1987,28,1,1,1,12,4,2011,70000,60,0,0,0,0,1,0,0,0,0,176,140,4,4,3,2,3,2014,,2014,3.07,3,6,5,4,1,,,,,,2
4694,2,31,86,129,352,466,2015年8月18日,5,56,30,28,5,4,,,,,,,,,,4,4,4,1,1,,,,,,,,,,2,2,1,2,2,,,,,,,,,,2,1964,51,3,0,5,3,2,,0,60,0,1,0,0,0,0,0,0,0,160,140,1,2,3,1,1,,1983,1983,3.71,2,5,5,1,3,1958,1983,4,12000,1,4
4695,1,31,87,130,355,470,2015年8月14日,1,60,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1955,60,1,1,1,6,4,1971,4000,45,0,0,0,0,0,0,0,0,1,168,140,2,2,3,4,2,,1998,1980,4.14,2,2,5,3,3,1956,1978,3,2000,6,2
4696,1,31,89,134,368,485,2015年9月12日,4,73,45,45,15,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,2,2,2,,,,,,,,,,,1,1942,73,1,1,1,7,4,-2,36000,80,0,0,0,1,0,0,0,0,0,173,130,1,2,4,2,1,,9997,9997,3.71,1,,,5,3,1942,1963,7,27600,5,1
4697,2,31,86,129,352,466,2015年8月18日,4,66,38,16,9,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,2,2,2,,,,,,,,,,,1,1976,39,1,1,1,4,4,1992,20000,84,0,0,0,0,0,0,0,1,0,178,176,5,4,4,1,1,,9997,9997,3.71,1,5,3,4,3,1977,1998,4,0,4,3
4699,2,31,87,132,364,479,2015年8月13日,1,71,,,,,,,,,,,,,,1,,,,,,,,,,,,,,-8,,,,,,,,,,,,,,1,1938,77,1,1,1,3,2,,660,70,0,0,0,1,0,0,0,0,0,170,120,1,1,2,1,1,,1941,1941,4.21,1,5,6,3,3,1944,1970,3,660,5,-8
4700,1,31,87,131,359,474,2015年8月15日,1,65,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1950,65,1,1,1,3,2,,20000,72,0,1,0,0,0,0,0,0,0,170,150,4,4,5,2,1,,1980,1980,4.07,1,,,4,3,1950,1982,3,10000,5,3
4701,1,31,87,132,361,476,2015年8月23日,1,68,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1947,68,1,1,1,3,4,-2,24000,50,0,1,1,0,0,0,0,0,0,171,160,4,4,4,2,1,,9997,9997,3.29,1,5,3,5,3,1947,1967,3,24000,5,2
4703,2,31,88,133,367,483,2015年8月18日,2,34,10,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1984,31,1,1,1,4,4,2002,39000,50,0,1,1,0,0,0,0,0,0,153,130,5,5,2,1,1,,9997,9997,4.07,1,,,1,3,1982,2002,6,39000,3,2
4704,2,31,87,130,354,468,2015年8月14日,1,44,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1949,66,1,1,1,3,4,-2,2000,80,0,0,0,1,0,0,0,0,0,150,90,5,4,2,1,1,,9997,9997,4.29,1,2,5,3,7,,,,,,3
4705,1,31,87,130,355,470,2015年8月14日,4,73,39,32,13,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,2,2,2,,,,,,,,,,,2,1946,69,1,0,1,1,,,660,102,0,1,1,0,0,0,0,0,0,160,130,1,3,5,1,2,,9997,9997,3.93,1,,,4,3,1943,1968,1,1200,4,-8
4707,2,31,87,131,360,475,2015年8月16日,1,72,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1948,67,1,1,1,3,4,1957,0,40,0,0,1,0,0,0,0,0,0,158,81,2,3,3,1,1,,9997,9997,4.14,1,1,2,3,3,1943,1968,3,10000,3,2
4709,1,31,86,129,351,465,2015年8月17日,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1942,73,1,1,1,3,2,,1000,35,0,1,0,0,0,0,0,0,0,160,92,1,4,5,2,1,,-2,-2,4.36,1,,,5,7,,,,,,2
4710,1,31,87,132,362,477,2015年8月22日,2,40,16,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,2,,,,,,,,,,,,,2,1980,35,1,1,1,4,4,1997,40000,75,0,0,1,0,0,0,0,0,0,165,110,3,3,3,2,1,,2003,2003,3.29,1,3,4,3,3,1975,1998,7,80000,1,3
4712,2,31,87,130,354,468,2015年8月15日,3,54,30,29,,,,,,,,,,,,1,4,4,,,,,,,,,,,,2,2,2,,,,,,,,,,,,2,1959,56,1,1,1,4,4,-2,30000,100,0,0,1,0,0,0,0,0,0,163,126,3,5,5,1,1,,9997,9997,4,1,1,6,4,3,1961,1983,3,30000,3,2
4713,1,31,87,130,355,470,2015年8月14日,3,56,53,27,,,,,,,,,,,,1,1,1,,,,,,,,,,,,2,2,2,,,,,,,,,,,,1,1987,28,1,1,1,12,4,2010,20000,107,0,1,0,0,1,0,0,0,0,179,138,5,5,5,2,2,,9997,9997,3.5,5,,,5,1,,,,,,3
4718,1,31,87,130,355,470,2015年8月15日,2,57,32,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1982,33,1,1,1,4,4,1999,24000,60,0,0,0,0,1,0,0,0,0,171,170,5,5,3,2,2,,9997,2007,3.5,2,7,4,4,3,1984,2013,6,0,1,2
4719,1,31,86,129,351,465,2015年8月17日,2,51,17,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1967,48,1,1,1,5,4,-2,10000,30,0,0,0,0,0,1,0,0,0,150,126,3,3,3,2,1,,9997,9997,3.5,1,6,6,3,3,1964,1982,6,-1,5,2
4720,1,31,87,131,358,473,2015年8月18日,3,38,37,15,,,,,,,,,,,,1,1,1,,,,,,,,,,,,2,2,2,,,,,,,,,,,,2,1954,61,1,0,8,3,2,,0,70,0,0,0,1,0,0,0,0,0,156,109,4,4,3,2,1,,9997,9997,3.86,1,1,2,4,7,,,,,,2
4722,1,31,87,130,355,470,2015年8月14日,1,57,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1958,57,1,1,1,3,4,1974,0,30,0,0,0,0,0,0,0,0,1,156,110,1,1,3,1,2,,9997,9996,4.5,1,7,7,2,3,1957,1982,-8,-3,1,3
4723,2,31,86,129,352,466,2015年8月18日,2,46,26,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1970,45,3,1,1,4,4,1986,0,130,0,1,0,0,0,0,0,0,0,177,160,4,5,5,2,2,,9997,2010,4,1,2,5,5,3,1970,1989,4,0,6,4
4724,1,31,87,132,361,476,2015年8月26日,1,68,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1946,69,1,1,1,6,4,1967,26000,62,0,1,0,0,0,0,0,0,0,170,124,1,2,4,2,1,,9997,1947,3.36,2,7,5,5,3,1947,1973,7,20000,5,3
4725,1,31,87,130,355,469,2015年8月15日,1,63,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1947,68,1,1,1,6,4,1965,20400,110,0,1,1,0,0,0,0,0,0,160,100,3,3,5,2,3,9997,,9997,3.64,4,,,4,3,1951,1976,4,15600,5,3
4727,2,31,87,130,356,471,2015年8月16日,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1939,76,1,1,1,1,,,6000,50,0,1,0,0,0,0,0,0,0,170,130,3,3,4,1,1,,9997,9997,4.43,2,3,4,4,7,,,,,,2
4728,1,31,88,133,365,481,2015年8月16日,1,29,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1985,30,1,1,1,7,4,2014,30000,85,0,1,0,0,0,0,0,0,0,173,150,5,5,5,2,2,,9997,9997,3.71,1,,,5,3,1986,2012,6,10000,1,-8
4730,2,31,87,130,356,471,2015年8月16日,5,53,26,24,22,20,,,,,,,,,,1,1,4,1,1,,,,,,,,,,2,2,1,2,2,,,,,,,,,,1,1965,50,1,1,1,3,2,,10000,100,0,1,0,0,0,0,0,0,0,158,116,5,4,4,1,1,,9997,9997,4.43,1,1,5,4,3,1962,1985,3,0,4,3
4732,1,31,87,131,358,473,2015年8月19日,1,68,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1948,67,1,1,1,3,2,,0,50,0,0,0,1,0,0,0,0,0,160,130,3,5,4,1,1,,9997,9997,4,1,7,6,4,3,1947,1967,3,1000,6,2
4733,1,31,87,130,355,470,2015年8月14日,1,73,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1946,69,1,1,1,3,2,,3000,60,0,0,0,1,0,0,0,0,0,150,113,2,3,5,1,2,,-2,1997,4.07,1,,,1,3,1946,1965,4,3000,4,3
4735,1,31,87,132,363,478,2015年8月21日,4,51,50,25,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,2,2,2,,,,,,,,,,,1,1987,28,1,1,1,4,-8,-1,60000,40,0,0,0,0,0,0,0,0,1,168,120,4,4,4,1,3,2003,,2003,4.43,2,6,6,5,3,1990,2011,4,20000,5,2
4736,1,31,87,130,355,469,2015年8月16日,2,55,23,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,1960,55,1,1,1,6,4,1980,36000,70,0,0,1,0,0,0,0,0,0,180,140,3,3,3,2,1,,2003,2003,3.57,1,,,3,3,1965,1985,4,24000,5,3
4741,2,31,87,131,357,472,2015年8月17日,2,45,21,,,,,,,,,,,,,4,4,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1942,73,1,1,1,1,,,0,60,0,0,0,1,0,0,0,0,0,150,66,2,4,4,1,1,,9997,9997,4,1,1,2,4,7,,,,,,2
4742,1,31,87,131,359,474,2015年8月15日,1,43,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1973,42,1,1,1,3,4,1986,50000,60,0,1,0,0,0,0,0,0,0,182,200,5,4,5,1,3,1995,,1995,4.07,1,2,2,4,3,1972,1991,3,50000,1,2
4743,1,31,87,130,355,469,2015年8月15日,1,31,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1986,29,1,1,1,3,4,1999,0,50,0,0,0,0,0,0,0,0,1,162,120,3,4,2,1,1,,9997,9996,3.57,1,3,5,4,3,1984,2005,4,50000,1,2
4746,2,31,86,129,350,464,2015年8月19日,2,35,10,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1980,35,1,1,1,4,2,1994,70000,100,0,1,1,0,0,0,0,0,0,162,130,4,5,4,1,1,,9997,9997,3.79,1,5,4,4,3,1980,2004,4,5000,3,3
4747,1,31,87,130,355,470,2015年8月14日,2,58,25,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1957,58,1,1,1,6,4,-2,9600,90,0,1,0,0,0,0,0,0,0,170,170,2,3,3,2,1,,1995,1995,4.21,1,7,7,4,3,1954,1988,4,12000,1,2
4748,2,31,87,131,357,472,2015年8月17日,2,55,19,,,,,,,,,,,,,4,4,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1962,53,1,0,8,6,4,1979,0,90,0,1,1,0,0,0,0,0,0,155,90,2,2,3,1,1,,9997,9997,3.71,2,1,2,4,3,1960,1985,4,20000,3,2
4752,1,31,87,132,362,477,2015年8月24日,2,55,27,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,2,1961,54,1,1,1,6,4,1980,19200,150,0,0,1,0,0,0,0,0,0,158,114,3,4,5,2,1,,9997,9997,2.93,1,1,2,4,3,1960,1987,6,100000,1,3
4753,1,31,87,130,355,469,2015年8月15日,2,56,46,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1993,22,1,1,1,4,2,-2,9000,100,0,0,0,0,0,0,0,0,1,156,110,4,3,2,1,1,,9997,9997,3.93,1,,,4,1,,,,,,3
4755,1,31,88,133,365,480,2015年8月20日,4,68,42,42,20,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,2,2,2,,,,,,,,,,,2,1949,66,1,1,1,6,4,1966,0,86,0,0,0,1,0,0,0,0,0,168,180,2,2,3,2,1,,2011,2011,4.29,1,6,7,4,3,1947,-2,4,0,5,2
4756,1,31,87,130,355,469,2015年8月15日,1,63,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1953,62,1,1,1,9,4,1981,20000,93,0,1,0,0,0,0,0,0,0,165,130,5,5,5,2,1,,9997,9997,3.5,2,3,3,4,3,1951,1978,1,0,6,2
4758,2,31,88,133,366,482,2015年8月17日,2,45,20,,,,,,,,,,,,,1,4,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1971,44,1,1,1,4,4,1989,30000,45,0,1,1,0,0,0,0,0,0,164,140,4,4,4,2,3,1988,,1988,3.43,4,5,5,4,2,1970,,7,20000,5,2
4759,1,31,87,131,359,474,2015年8月15日,1,48,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1968,47,1,1,1,4,2,-1,20000,65,0,1,0,0,0,0,0,0,0,172,138,5,5,5,1,2,,9997,9997,3.64,1,6,6,4,3,1968,1988,4,4000,5,4
4762,1,31,87,130,355,469,2015年8月15日,1,52,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,1965,50,1,0,5,6,4,1985,0,54,0,0,1,0,0,0,0,0,0,158,115,2,3,3,2,1,,9997,9997,3.36,2,2,2,4,3,1963,1987,8,20000,1,-8
4765,1,31,87,132,362,477,2015年8月23日,1,55,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1959,56,1,1,1,6,4,-2,10000,81,0,1,1,0,0,0,0,0,0,168,135,4,4,4,2,1,,9997,9997,3.36,2,,,4,3,1960,1985,7,10000,5,3
4767,2,31,86,129,352,466,2015年8月18日,1,71,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1945,70,-8,1,1,1,,,0,13,1,0,0,0,0,0,0,0,0,154,130,2,2,3,1,1,,1964,1960,4.43,1,,,5,3,1944,1960,1,0,4,-8
4768,1,31,87,132,361,476,2015年8月27日,2,30,4,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1984,31,3,0,6,13,1,2006,48000,90,0,1,0,0,0,0,0,0,0,183,180,4,5,5,2,1,,9997,9997,3.21,2,7,3,5,3,1985,2011,13,36000,1,3
4769,1,31,87,131,358,473,2015年8月18日,2,37,17,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1976,39,1,1,1,4,2,-2,10000,70,0,0,1,0,0,0,0,0,0,155,110,3,4,3,1,1,,9997,9997,4.07,1,3,5,5,3,1978,1997,3,40000,2,3
4770,1,31,87,130,355,469,2015年8月15日,3,81,75,43,,,,,,,,,,,,1,1,1,,,,,,,,,,,,2,2,2,,,,,,,,,,,,1,1974,41,1,1,1,3,2,,24000,70,0,0,0,0,1,0,0,0,0,180,170,4,3,3,2,1,,9997,9997,4,1,,,4,3,1973,2012,4,0,6,3
4771,2,31,86,129,350,464,2015年8月19日,2,32,9,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1985,30,1,1,1,4,4,1999,0,71,0,0,1,0,0,0,0,0,0,164,135,4,5,5,1,1,,2006,1988,2.64,1,7,2,5,3,1984,2005,4,25000,3,-8
4772,2,31,86,129,352,466,2015年8月18日,2,48,27,,,,,,,,,,,,,1,4,,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,1967,48,1,0,1,4,4,1983,10000,63.799999,0,1,1,0,0,0,0,0,0,168,150,3,4,3,1,1,,9997,9997,3.93,3,5,3,4,3,1969,1987,3,5000,1,2
4773,1,31,86,129,351,465,2015年8月17日,3,46,27,25,,,,,,,,,,,,1,4,4,,,,,,,,,,,,2,1,2,,,,,,,,,,,,1,1962,53,8,1,1,4,4,-2,3000,45,0,0,0,0,0,0,0,0,1,160,110,1,2,2,1,1,,9997,9997,4.07,2,5,5,2,4,1970,2012,4,3000,1,4
4774,2,31,87,130,356,471,2015年8月16日,1,46,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1970,45,1,1,1,4,2,-2,2000,110,0,1,1,0,0,0,0,0,0,160,108,1,1,2,1,1,,9997,9997,4.07,1,7,7,2,3,1969,1989,4,8000,3,4
4775,1,31,87,131,358,473,2015年8月19日,1,61,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1954,61,1,0,8,3,4,-2,10000,70,0,0,0,0,0,0,0,0,1,162,130,2,5,5,1,1,,9997,9997,4.36,1,,,2,3,1954,-2,1,0,5,3
4776,2,31,87,130,356,471,2015年8月17日,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1946,69,1,1,1,1,,,7000,50,0,1,0,0,0,0,0,0,0,153,100,4,4,4,1,1,,9997,9997,4.5,1,2,6,2,7,,,,,,2
4779,1,31,87,131,359,474,2015年8月15日,3,49,28,26,,,,,,,,,,,,1,4,4,,,,,,,,,,,,2,2,1,,,,,,,,,,,,1,1964,51,1,1,1,4,4,1979,30000,104,0,1,0,0,0,0,0,0,0,168,140,5,5,4,1,1,,9997,9997,3.86,1,2,4,4,3,1966,1986,4,20000,1,2
